,,,0
穀類,こめ［水稲全かゆ］玄米,Calorie_cal,70
穀類,こめ［水稲全かゆ］半つき米,Calorie_cal,71
穀類,こめ［水稲全かゆ］七分つき米,Calorie_cal,71
穀類,こめ［水稲全かゆ］精白米,Calorie_cal,71
穀類,こめ［水稲五分かゆ］玄米,Calorie_cal,35
穀類,こめ［水稲五分かゆ］半つき米,Calorie_cal,35
穀類,こめ［水稲五分かゆ］七分つき米,Calorie_cal,35
穀類,こめ［水稲五分かゆ］精白米,Calorie_cal,36
穀類,こめ［水稲おもゆ］玄米,Calorie_cal,20
穀類,こめ［水稲おもゆ］半つき米,Calorie_cal,21
穀類,こめ［水稲おもゆ］七分つき米,Calorie_cal,21
穀類,こめ［水稲おもゆ］精白米,Calorie_cal,21
穀類,こめ［陸稲穀粒］玄米,Calorie_cal,351
穀類,こめ［陸稲穀粒］半つき米,Calorie_cal,355
穀類,こめ［陸稲穀粒］七分つき米,Calorie_cal,358
穀類,こめ［陸稲穀粒］精白米,Calorie_cal,357
穀類,こめ［陸稲めし］玄米,Calorie_cal,164
穀類,こめ［陸稲めし］半つき米,Calorie_cal,166
穀類,こめ［陸稲めし］七分つき米,Calorie_cal,168
穀類,こめ［陸稲めし］精白米,Calorie_cal,168
穀類,こめ［うるち米製品］アルファ化米一般用,Calorie_cal,388
穀類,こめ［うるち米製品］アルファ化米学校給食用強化品,Calorie_cal,388
穀類,こめ［うるち米製品］おにぎり,Calorie_cal,179
穀類,こめ［うるち米製品］焼きおにぎり,Calorie_cal,181
穀類,こめ［うるち米製品］きりたんぽ,Calorie_cal,210
穀類,こめ［うるち米製品］上新粉,Calorie_cal,362
穀類,こめ［うるち米製品］玄米粉,Calorie_cal,395
穀類,こめ［うるち米製品］米粉,Calorie_cal,374
穀類,こめ［うるち米製品］米粉パン,Calorie_cal,255
穀類,こめ［うるち米製品］米粉めん,Calorie_cal,265
穀類,こめ［うるち米製品］ビーフン,Calorie_cal,377
穀類,こめ［うるち米製品］米こうじ,Calorie_cal,286
穀類,こめ［もち米製品］もち,Calorie_cal,234
穀類,こめ［もち米製品］赤飯,Calorie_cal,190
穀類,こめ［もち米製品］あくまき,Calorie_cal,132
穀類,こめ［もち米製品］白玉粉,Calorie_cal,369
穀類,こめ［もち米製品］道明寺粉,Calorie_cal,372
穀類,こめ［その他］米ぬか,Calorie_cal,412
穀類,そばそば粉全層粉,Calorie_cal,361
穀類,そばそば粉内層粉,Calorie_cal,359
穀類,そばそば粉中層粉,Calorie_cal,360
穀類,そばそば粉表層粉,Calorie_cal,358
穀類,そばそば米,Calorie_cal,364
穀類,そばそば生,Calorie_cal,274
穀類,そばそばゆで,Calorie_cal,132
穀類,そば干しそば乾,Calorie_cal,344
穀類,そば干しそばゆで,Calorie_cal,114
穀類,とうもろこし玄穀黄色種,Calorie_cal,350
穀類,とうもろこし玄穀白色種,Calorie_cal,350
穀類,とうもろこしコーンミール黄色種,Calorie_cal,363
穀類,とうもろこしコーンミール白色種,Calorie_cal,363
穀類,とうもろこしコーングリッツ黄色種,Calorie_cal,355
穀類,とうもろこしコーングリッツ白色種,Calorie_cal,355
穀類,とうもろこしコーンフラワー黄色種,Calorie_cal,363
穀類,とうもろこしコーンフラワー白色種,Calorie_cal,363
穀類,とうもろこしジャイアントコーンフライ味付け,Calorie_cal,435
穀類,とうもろこしポップコーン,Calorie_cal,484
穀類,とうもろこしコーンフレーク,Calorie_cal,381
穀類,はとむぎ精白粒,Calorie_cal,360
穀類,ひえ精白粒,Calorie_cal,366
穀類,もろこし玄穀,Calorie_cal,352
穀類,もろこし精白粒,Calorie_cal,364
穀類,ライむぎ全粒粉,Calorie_cal,334
穀類,ライむぎライ麦粉,Calorie_cal,351
穀類,雑穀五穀,Calorie_cal,357
