0～5ヶ月,男性,Calorie_cal,550,1
6～8ヶ月,男性,Calorie_cal,650,1
9～11ヶ月,男性,Calorie_cal,700,1
1～2,男性,Calorie_cal,950,1
3～5,男性,Calorie_cal,1300,1
6～7,男性,Calorie_cal,1550,1
8～9,男性,Calorie_cal,1850,1
10～11,男性,Calorie_cal,2250,1
12～14,男性,Calorie_cal,2600,1
15～17,男性,Calorie_cal,2850,1
18～29,男性,Calorie_cal,2650,1
30～49,男性,Calorie_cal,2650,1
50～69,男性,Calorie_cal,2450,1
70以上,男性,Calorie_cal,2200,1
0～5ヶ月,女性,Calorie_cal,500,1
6～8ヶ月,女性,Calorie_cal,600,1
9～11ヶ月,女性,Calorie_cal,650,1
1～2,女性,Calorie_cal,900,1
3～5,女性,Calorie_cal,1250,1
6～7,女性,Calorie_cal,1450,1
8～9,女性,Calorie_cal,1700,1
10～11,女性,Calorie_cal,2100,1
12～14,女性,Calorie_cal,2400,1
15～17,女性,Calorie_cal,2300,1
18～29,女性,Calorie_cal,1950,1
30～49,女性,Calorie_cal,2000,1
50～69,女性,Calorie_cal,1900,1
70以上,女性,Calorie_cal,1750,1
0～5ヶ月,男性,Protein_g,10,1
6～8ヶ月,男性,Protein_g,15,1
9～11ヶ月,男性,Protein_g,25,1
1～2,男性,Protein_g,20,1
3～5,男性,Protein_g,25,1
6～7,男性,Protein_g,35,1
8～9,男性,Protein_g,40,1
10～11,男性,Protein_g,50,1
12～14,男性,Protein_g,60,1
15～17,男性,Protein_g,65,1
18～29,男性,Protein_g,60,1
30～49,男性,Protein_g,60,1
50～69,男性,Protein_g,60,1
70以上,男性,Protein_g,60,1
0～5ヶ月,女性,Protein_g,10,1
6～8ヶ月,女性,Protein_g,15,1
9～11ヶ月,女性,Protein_g,25,1
1～2,女性,Protein_g,20,1
3～5,女性,Protein_g,25,1
6～7,女性,Protein_g,30,1
8～9,女性,Protein_g,40,1
10～11,女性,Protein_g,50,1
12～14,女性,Protein_g,55,1
15～17,女性,Protein_g,55,1
18～29,女性,Protein_g,50,1
30～49,女性,Protein_g,50,1
50～69,女性,Protein_g,50,1
70以上,女性,Protein_g,50,1
0～5ヶ月,男性,Fiber_g,0,1
6～8ヶ月,男性,Fiber_g,0,1
9～11ヶ月,男性,Fiber_g,0,1
1～2,男性,Fiber_g,0,1
3～5,男性,Fiber_g,0,1
6～7,男性,Fiber_g,11,1
8～9,男性,Fiber_g,12,1
10～11,男性,Fiber_g,13,1
12～14,男性,Fiber_g,17,1
15～17,男性,Fiber_g,19,1
18～29,男性,Fiber_g,20,1
30～49,男性,Fiber_g,20,1
50～69,男性,Fiber_g,20,1
70以上,男性,Fiber_g,19,1
0～5ヶ月,女性,Fiber_g,0,1
6～8ヶ月,女性,Fiber_g,0,1
9～11ヶ月,女性,Fiber_g,0,1
1～2,女性,Fiber_g,0,1
3～5,女性,Fiber_g,0,1
6～7,女性,Fiber_g,10,1
8～9,女性,Fiber_g,12,1
10～11,女性,Fiber_g,13,1
12～14,女性,Fiber_g,16,1
15～17,女性,Fiber_g,17,1
18～29,女性,Fiber_g,18,1
30～49,女性,Fiber_g,18,1
50～69,女性,Fiber_g,18,1
70以上,女性,Fiber_g,17,1
0～5ヶ月,男性,Calcium_mg,200,1
6～8ヶ月,男性,Calcium_mg,250,1
9～11ヶ月,男性,Calcium_mg,250,1
1～2,男性,Calcium_mg,450,1
3～5,男性,Calcium_mg,600,1
6～7,男性,Calcium_mg,600,1
8～9,男性,Calcium_mg,650,1
10～11,男性,Calcium_mg,700,1
12～14,男性,Calcium_mg,1000,1
15～17,男性,Calcium_mg,800,1
18～29,男性,Calcium_mg,800,1
30～49,男性,Calcium_mg,650,1
50～69,男性,Calcium_mg,700,1
70以上,男性,Calcium_mg,700,1
0～5ヶ月,女性,Calcium_mg,200,1
6～8ヶ月,女性,Calcium_mg,250,1
9～11ヶ月,女性,Calcium_mg,250,1
1～2,女性,Calcium_mg,400,1
3～5,女性,Calcium_mg,550,1
6～7,女性,Calcium_mg,550,1
8～9,女性,Calcium_mg,750,1
10～11,女性,Calcium_mg,750,1
12～14,女性,Calcium_mg,800,1
15～17,女性,Calcium_mg,650,1
18～29,女性,Calcium_mg,650,1
30～49,女性,Calcium_mg,650,1
50～69,女性,Calcium_mg,650,1
70以上,女性,Calcium_mg,650,1
